koordinate_merenjastanica,North,East,H,mmperm2
Crnook,42.4252778,22.3958333,1871,1100
Crnotince,42.3577778,21.7061111,395,647
Crvenka,45.6558333,19.4661111,80,560.1
Culine,44.2944444,19.1738889,170,820
Cuprija,43.9272222,21.3755556,123,649.5
Curug,45.4730556,20.0769444,80,567.3
Cuötica,43.3688889,22.525,500,793.3
D.BelaReka,44.0733333,22.2108333,170,687.2
D.Borina,44.4397222,19.1633333,200,872.2
D.Grbice,44.0658333,20.7969444,380,616.8
D.Kamenica,43.4883333,22.3336111,280,645.9
D.Koritnica,43.1463889,22.3325,400,681.9
D.Leskovice,44.1811111,19.8347222,600,952.9
D.Ljubata,42.5013889,22.3469444,1000,622.4
D.Muöic,44.2711111,20.1358333,180,843.2
D.Mutnica,43.8530556,21.5625,230,673.1
D.Obilic,42.695,20.7197222,570,596.8
D.Rinj,43.2919444,22.3088889,735,861.6
D.äatornja,44.1944444,20.6111111,320,722.5
D.Stupanj,43.4936111,21.1961111,320,653.2
D.Tlamino,42.3591667,22.4352778,1020,651.7
D.Toponica,43.4111111,21.7933333,180,617.9
–akovica,42.3797222,20.4361111,360,872.6
Daöevci,42.7105556,20.8619444,720,639.7
Davidovac(S.Banja),43.5102778,21.9916667,660,732.7
DebeliLug,44.3677778,21.915,305,786.3
Debrc,44.6230556,19.8913889,145,744.9
Decane,42.5430556,20.2952778,580,1076
Degrmen(Podujevo),42.9441667,21.3025,630,657.5
DeliJovan,44.225,22.2275,1135,950
Deliblato,44.8408333,21.0711111,90,625
–eravica,42.5327778,20.1461111,2656,1700
–erdap(Karataö),44.6733333,22.5130556,73,670
Deronje,45.4541667,19.2247222,90,601.3
Desic,44.6236111,19.5261111,155,703.6
Desivojce,42.6572222,21.7330556,690,881.3
Despotovac,44.0925,21.4519444,190,758
Despotovo,45.4611111,19.5591667,85,652
DevetJugovica,42.7205556,21.1411111,630,642
Devica,43.5941667,21.9377778,1187,730
Devotin,42.5975,21.8825,1005,802.2
Dimitrovgrad,43.0130556,22.7311111,446,651
Divci(Prijepolje),43.3330556,19.6761111,501,820
Divcibare,44.105,19.9966667,960,1011
Dobra,44.6383333,21.9144444,70,646.2
DobriDo(Azanja),44.4869444,20.9569444,190,633.3
DobriDub,42.6419444,21.0680556,540,629.2
Dobric,44.7019444,19.5861111,90,762.3
Dobrica,45.2130556,20.8538889,85,672.4
Dobrinci,44.9536111,19.9291667,85,650
DobroPolje(Ostrozub),42.8922222,22.2866667,1150,952.3
Dobroselica,43.6161111,19.7097222,880,897.8
Dobroöevac,42.6555556,20.945,560,706.1
Dojkinci,43.2255556,22.7877778,880,944.2
Dolac(Klina),42.5961111,20.6019444,440,720.9
Dolovo,44.9019444,20.8808333,95,589.8
Domorovce,42.5172222,21.6502778,375,635.1
DonjaGuöterica,42.5452778,21.3702778,580,569.6
DonjeCrniljevo,44.4669444,19.6313889,180,843.8
DonjeJaruöice,44.1916667,20.8702778,240,709.8
DonjiDuönik,43.1630556,22.115,330,750
DonjiMilanovac,44.4630556,22.1594444,80,616
Draga(Tutin),42.9011111,20.3741667,1130,965.5
Dragaö,42.0633333,20.6566667,1060,842
Draginac,44.4980556,19.4436111,150,834.7
Dragojevac,44.6963889,19.855,150,674.2
Dragovac,44.6169444,21.1086111,80,696.9
Dren,42.8516667,20.6530556,990,769.5
Drljan,45.7180556,19.8319444,100,540.6
Dub,43.9563889,19.6805556,360,865.6
Dubovac,44.7930556,21.2141667,75,685
Dubovo,43.1077778,21.7041667,395,579.1
Dubravica,44.6977778,21.0869444,75,638.3
Dudovica,44.2986111,20.2705556,135,801.2
DugaLuka,43.2444444,19.7305556,540,698.1
DugaPoljana(Sjenica),43.2505556,20.2327778,1060,690
Dukat(pl),42.4252778,22.3952778,1881,1205
Dukat(selo),42.4386111,22.3136111,1100,741
DuljeHan,42.4094444,20.9019444,665,776.7
Dunavo(Presevo),42.2711111,21.5658333,850,770.8
–unis,43.5841667,21.5133333,160,664
Dvorska(Krupanj),44.4477778,19.395,315,824
Ecka,45.3183333,20.4480556,80,564.5
Elemir,45.4427778,20.3033333,80,571.8
Erdevik,45.1186111,19.4127778,134,639.8
Farkaûdin,45.19,20.4783333,80,583.3
Firaja(Strpce),42.2494444,21.1027778,900,832.9
Flamunda,44.9341667,21.0788889,160,635
Futog,45.2411111,19.7161111,80,638
G.Banjani,44.1013889,20.2708333,470,904.8
G.Budriga,42.3711111,21.4238889,505,649.6
G.Dobrinja,43.9602778,20.0852778,530,826.8
G.Gabrica(Kacanik),42.28,21.2030556,620,717.1
G.Gorevnica,43.9513889,20.3022222,340,681.3
G.Jablanica,43.6519444,19.5894444,865,1006.3
G.Joöanica(Jastrebac),43.3422222,21.3705556,495,760.9
G.Lisina,42.5608333,22.3705556,1030,836.2
G.Matejevac,43.3641667,21.9733333,360,635.7
G.Mirnica,43.1486111,21.1583333,910,801
G.Rogatica,45.8052778,19.4786111,100,570.4
G.ätiplje,44.0175,21.1377778,350,823.3
G.Streoc,42.5772222,20.2983333,615,991.8
G.Trepca,43.9466667,20.4841667,300,718.4
G.Treönjica,44.1294444,19.5194444,225,931
Gaj,44.7936111,21.0544444,80,660
Gajdobra,45.3519444,19.4497222,85,584.2
Gakovo,45.9013889,19.0661111,90,623.9
Galica,42.7813889,20.8708333,660,626.3
Gamzigrad,43.9097222,22.1802778,250,653.7
Gardinovci,45.2019444,20.1405556,85,611.1
Garina,43.1269444,22.0680556,1059,940
Giljeva,43.18,19.9122222,1617,900
Glavicica,42.64,20.4291667,450,763.7
Gledicj.,43.8611111,20.9097222,895,840
Gledics.,43.7508333,20.9547222,922,860
Globare,42.6469444,20.8763889,620,751.8
Glodane(Decane),42.5063889,20.3677778,512,682
Glogovac(BelaPalanka),43.2544444,22.2033333,345,687.6
Glogovica(Aleksinac),43.5294444,21.7413889,215,589.9
Gluöci,44.8908333,19.5558333,80,634.9
Gnjilane,42.4619444,21.4741667,520,589.1
Goc(pl.),43.5816667,20.7969444,1127,1150
Goc(s.),43.5613889,20.8325,990,1003
Godacica,43.7822222,20.8611111,295,706.4
Gokcanica,43.4880556,20.7141667,480,687.2
GolemoSelo,42.7152778,21.8627778,485,789.2
Goleöa,43.5038889,19.5061111,860,972
Golija(JankovKamen),43.3402778,20.2805556,1833,1098
Goljak(vrhLisica),42.7447222,21.3980556,1184,960
Golubac,44.6494444,21.6383333,70,650.8
Golubinje,44.5022222,22.2113889,75,707.7
Goracici,43.7730556,20.3416667,480,819
GornjiMilanovac,44.0252778,20.4644444,335,775
Goöevo(Giljeva),43.1291667,19.9086111,1225,771.3
Gospodinci,45.4013889,19.9869444,80,579.8
Gostinica,43.9094444,19.8197222,810,923.5
Grabovci,44.765,19.8461111,80,590
Gradaönica,43.0438889,22.0786111,480,694
Gradskovo,44.0202778,22.3875,315,665.6
Gramada,42.7930556,22.3788889,1721,1075
Grdelica,42.8919444,22.0777778,360,745.9
Grebenac,44.8952778,21.2852778,85,670
Grkinja,43.2083333,22.0022222,345,689.3
Grocka,44.6716667,20.7230556,105,617.7
Groönica,43.9508333,20.8788889,280,711.9
Grot,42.6252778,21.9133333,1327,830
Gruûa,43.8986111,20.7761111,260,705
Guca,43.7772222,20.2316667,340,790.9
Gucevo,44.4466667,19.1902778,779,950
